country,year,gini
Uruguay,2008,0.45072547
Uruguay,2009,0.45535302
Uruguay,2010,0.44466638
Uruguay,2011,0.42167363
Uruguay,2012,0.39893811
Uruguay,2013,0.40445013
Uruguay,2014,0.40103523
Uruguay,2015,0.40120669
Uruguay,2016,0.39688513
Uruguay,2017,0.39456537
Uruguay,2018,0.39680701
Uruguay,2019,0.39666525
Uruguay,2020,0.40127557
Uruguay,2021,0.40752737
Uruguay,2022,0.40542276
Uruguay,2023,0.40851399
Uruguay,1999,0.46985729
